FECHA,TEMP MAX (°C),TEMP MIN (°C),HR MAX (%),HR MIN (%)
9/01/2014,28,"24,6",37,26
9/02/2014,"28,4","27,1",36,26
9/03/2014,28,"26,8",36,28
9/04/2014,28,"27,4",37,30
9/05/2014,28,"26,8",33,26
9/06/2014,,,,
9/07/2014,,,,
9/08/2014,"28,4","27,4",41,26
9/09/2014,,,,
9/10/2014,"28,7","27,8",33,26
9/11/2014,"28,4","27,5",32,29
9/12/2014,"28,4","27,4",30,26
13/09/2014,,,,
14/09/2014,,,,
15/09/2014,"28,4","26,8",38,28
16/09/2014,28,"27,1",36,31
17/09/2014,28,"26,8",33,26
18/09/2014,28,"26,8",35,29
19/09/2014,"28,2","26,7",34,26
20/09/2014,,,,
21/09/2014,,,,
22/09/2014,28,"26,5",30,26
23/09/2014,"27,7","25,6",30,26
24/09/2014,"28,7","26,2",32,27
25/09/2014,28,"25,8",30,26
26/09/2014,,,,
27/09/2014,,,,
28/09/2014,,,,
29/09/2014,"28,4","27,4",36,29
30/09/2014,"28,4","26,8",36,28
10/01/2014,"28,4","27,4",32,26
10/02/2014,"27,7","26,5",30,26
10/03/2014,"28,4","27,1",31,26
10/04/2014,,,,
10/05/2014,,,,
10/06/2014,"29,1","27,1",33,26
10/07/2014,"29,1","28,1",34,29
10/08/2014,,,,
10/09/2014,"29,1","28,4",35,30
10/10/2014,"28,8","27,4",32,26
10/11/2014,,,,
10/12/2014,,,,
13/10/2014,"28,8","24,4",37,30
14/10/2014,"29,1","27,1",36,32
15/10/2014,"29,5","28,8",37,32
16/10/2014,"29,5","28,6",36,31
17/10/2014,"29,5","26,4",31,27
18/10/2014,,,,
19/10/2014,,,,
20/10/2014,"29,5","28,4",31,26
21/10/2014,29,"26,5",30,26
22/10/2014,"28,4","27,8",30,27
23/10/2014,"28,8","27,8",30,26
24/10/2014,"29,1","27,5",30,26
25/10/2014,,,,
26/10/2014,,,,
27/10/2014,,,,
28/10/2014,29,"27,7",30,26
29/10/2014,29,"25,3",30,26
30/10/2014,"28,4","26,5",30,27
31/10/2014,"28,4","26,8",30,26
11/01/2014,,,,
11/02/2014,,,,
11/03/2014,"28,4","26,5",37,26
11/04/2014,"27,7","26,8",30,26
11/05/2014,"28,4","27,8",30,26
11/06/2014,,,,
11/07/2014,"28,6","27,1",30,27
11/08/2014,,,,
11/09/2014,,,,
11/10/2014,"29,5","28,1",32,26
11/11/2014,,,,
11/12/2014,"29,8","28,7",36,30
13/11/2014,"28,7",28,34,30
14/11/2014,"28,4","27,4",35,30
15/11/2014,,,,
16/11/2014,,,,
17/11/2014,"27,7","26,5",41,33
18/11/2014,29,"25,6",37,27
19/11/2014,,,,
20/11/2014,"28,8","27,1",33,26
21/11/2014,"28,4","26,5",31,26
22/11/2014,,,,
23/11/2014,,,,
24/11/2014,"28,1","26,2",30,27
25/11/2014,"28,4","25,3",30,26
26/11/2014,"29,5","27,1",30,26
27/11/2014,"29,8","28,4",30,26
28/11/2014,"29,5","27,4",30,26
29/11/2014,,,,
30/11/2014,,,,
12/01/2014,"29,5","27,7",33,26
12/02/2014,"29,5","28,4",30,26
12/03/2014,"29,8","28,8",31,26
12/04/2014,"29,5","28,4",32,26
12/05/2014,"29,4","27,4",32,27
12/06/2014,,,,
12/07/2014,,,,
12/08/2014,,,,
12/09/2014,"30,2","28,4",37,29
12/10/2014,"29,8","28,6",37,30
12/11/2014,"29,5","27,7",37,30
12/12/2014,29,"27,4",39,31
13/12/2014,,,,
14/12/2014,,,,
15/12/2014,"27,7","25,8",40,30
16/12/2014,"27,1",25,36,27
17/12/2014,"27,4","25,8",38,27
18/12/2014,"35,5","23,1",34,26
19/12/2014,"27,1","25,3",36,27
20/12/2014,,,,
21/12/2014,,,,
22/12/2014,"36,3","25,6",68,28
23/12/2014,,,,
24/12/2014,"27,1","25,3",40,29
25/12/2014,,,,
26/12/2014,"27,8","26,8",41,36
27/12/2014,,,,
28/12/2014,,,,
29/12/2014,"28,4","25,3",41,26
30/12/2014,,,,
31/12/2014,"27,8","25,9",42,32
1/01/2015,,,,
1/02/2015,,,,
1/03/2015,,,,
1/04/2015,,,,
1/05/2015,"28,1","26,2",45,31
1/06/2015,"28,1","26,2",38,26
1/07/2015,"28,4","27,4",38,28
1/08/2015,"28,5","27,8",38,27
1/09/2015,"28,4","27,1",37,27
1/10/2015,,,,
1/11/2015,,,,
1/12/2015,"28,8","28,1",41,33
13/01/2015,"28,8","28,1",32,27
14/01/2015,"28,4","27,5",32,26
15/01/2015,"28,4","27,5",32,26
16/01/2015,28,"26,5",30,27
17/01/2015,,,,
18/01/2015,,,,
19/01/2015,"28,4","25,9",39,29
20/01/2015,"27,4","26,2",40,34
21/01/2015,"26,8","25,8",41,30
22/01/2015,"26,5","25,3",42,31
23/01/2015,"27,4",25,44,34
24/01/2015,,,,
25/01/2015,,,,
26/01/2015,"27,1","26,2",44,39
27/01/2015,"27,5","27,1",45,38
28/01/2015,"27,1","26,5",48,41
29/01/2015,"26,8",25,50,39
30/01/2015,"26,4","25,3",49,38
31/01/2015,,,,
